tables
aartiind_2021
aartiind_2022
aartiind_2023
aartiind_fut
abb_2022
abb_2023
abb_fut
abbotindia_2021
abbotindia_2022
abbotindia_2023
abbotindia_fut
abcapital_2021
abcapital_2022
abcapital_2023
abcapital_fut
abfrl_2021
abfrl_2022
abfrl_2023
abfrl_fut
acc_2020
acc_2021
acc_2022
acc_2023
acc_fut
adanient_2020
adanient_2021
adanient_2022
adanient_2023
adanient_fut
adaniports_2020
adaniports_2021
adaniports_2022
adaniports_2023
adaniports_fut
adanipower_2020
adanipower_fut
alkem_2021
alkem_2022
alkem_2023
alkem_fut
amarajabat_2020
amarajabat_2021
amarajabat_2022
amarajabat_fut
ambujacem_2020
ambujacem_2021
ambujacem_2022
ambujacem_2023
ambujacem_fut
aplltd_2021
aplltd_2022
aplltd_fut
apollohosp_2020
apollohosp_2021
apollohosp_2022
apollohosp_2023
apollohosp_fut
apollotyre_2020
apollotyre_2021
apollotyre_2022
apollotyre_2023
apollotyre_fut
ashokley_2020
ashokley_2021
ashokley_2022
ashokley_2023
ashokley_fut
asianpaint_2020
asianpaint_2021
asianpaint_2022
asianpaint_2023
asianpaint_fut
astral_2021
astral_2022
astral_2023
astral_fut
atul_2021
atul_2022
atul_2023
atul_fut
aubank_2021
aubank_2022
aubank_2023
aubank_fut
auropharma_2020
auropharma_2021
auropharma_2022
auropharma_2023
auropharma_fut
axisbank_2020
axisbank_2021
axisbank_2022
axisbank_2023
axisbank_fut
bajaj_auto_2020
bajaj_auto_2021
bajaj_auto_2022
bajaj_auto_2023
bajaj_auto_fut
bajajfinsv_2020
bajajfinsv_2021
bajajfinsv_2022
bajajfinsv_2023
bajajfinsv_fut
bajfinance_2020
bajfinance_2021
bajfinance_2022
bajfinance_2023
bajfinance_fut
balkrisind_2020
balkrisind_2021
balkrisind_2022
balkrisind_2023
balkrisind_fut
balramchin_2021
balramchin_2022
balramchin_2023
balramchin_fut
bandhanbnk_2020
bandhanbnk_2021
bandhanbnk_2022
bandhanbnk_2023
bandhanbnk_fut
bankbaroda_2020
bankbaroda_2021
bankbaroda_2022
bankbaroda_2023
bankbaroda_fut
banknifty_2020
banknifty_2021
banknifty_2022
banknifty_2023
banknifty_fut
bataindia_2020
bataindia_2021
bataindia_2022
bataindia_2023
bataindia_fut
bel_2020
bel_2021
bel_2022
bel_2023
bel_fut
bergepaint_2020
bergepaint_2021
bergepaint_2022
bergepaint_2023
bergepaint_fut
bharatforg_2020
bharatforg_2021
bharatforg_2022
bharatforg_2023
bharatforg_fut
bhartiartl_2020
bhartiartl_2021
bhartiartl_2022
bhartiartl_2023
bhartiartl_fut
bhel_2020
bhel_2021
bhel_2022
bhel_2023
bhel_fut
biocon_2020
biocon_2021
biocon_2022
biocon_2023
biocon_fut
boschltd_2020
boschltd_2021
boschltd_2022
boschltd_2023
boschltd_fut
bpcl_2020
bpcl_2021
bpcl_2022
bpcl_2023
bpcl_fut
britannia_2020
britannia_2021
britannia_2022
britannia_2023
britannia_fut
bsoft_2021
bsoft_2022
bsoft_2023
bsoft_fut
cadilahc_2020
cadilahc_2021
cadilahc_2022
cadilahc_fut
canbk_2020
canbk_2021
canbk_2022
canbk_2023
canbk_fut
canfinhome_2021
canfinhome_2022
canfinhome_2023
canfinhome_fut
centurytex_2020
centurytex_fut
cesc_2020
cesc_fut
chamblfert_2021
chamblfert_2022
chamblfert_2023
chamblfert_fut
cholafin_2020
cholafin_2021
cholafin_2022
