ExchangeInstrumentID,High,Low,Close,Open,Date Time,true_ranges,atr_values,adxvma
38605,3121.15,3119.95,3121.15,3119.95,2014-06-01T09:39:39,1.2000000000002728,,
35152,21879.7,21879.7,21879.7,21879.7,2014-06-01T09:39:39,2.100000000002183,,
35025,11425.8,11423.2,11423.2,11425.8,2014-06-01T09:39:39,9.5,,
52177,1024.5,1022.15,1023.05,1024.5,2014-06-01T09:39:39,3.0000000000001137,,
40404,315.8,315.4,315.8,315.4,2014-06-01T09:39:39,1.0500000000000114,,
47840,1128.9,1128.25,1128.9,1128.25,2014-06-01T09:39:39,4.2000000000000455,,
52195,154.8,154.8,154.8,154.8,2014-06-01T09:39:35,0.09999999999999432,,
52213,3730.2,3725.3,3729.95,3727.15,2014-06-01T09:39:39,4.899999999999636,,
63863,7056.75,7056.75,7056.75,7056.75,2014-06-01T09:39:39,17.199999999999818,,
58877,502.45,501.7,502.0,502.0,2014-06-01T09:39:39,1.0500000000000114,,
42113,2201.1,2195.05,2197.65,2195.8,2014-06-01T09:40:39,6.049999999999727,160.81666666666774,54.43438914027008
63875,1254.0,1252.25,1253.15,1252.95,2014-06-01T09:40:39,1.75,161.40000000000109,77.98393574296793
42117,820.0,818.3,819.45,819.8,2014-06-01T09:40:38,1.7000000000000455,161.96666666666775,86.36363636363355
63877,2670.0,2670.0,2670.0,2670.0,2014-06-01T09:40:39,0.0,161.96666666666775,48.04664289958524
41223,5248.8,5247.3,5247.3,5248.8,2014-06-01T09:40:19,4.25,163.38333333333443,92.96007283132133
58888,127.15,127.05,127.1,127.05,2014-06-01T09:40:33,0.10000000000000853,163.41666666666777,50.00000000001421
42122,510.45,509.3,509.8,510.45,2014-06-01T09:40:38,1.1499999999999773,163.8000000000011,59.81149216443349
52236,1187.05,1187.0,1187.0,1187.05,2014-06-01T09:40:39,0.049999999999954525,163.81666666666774,95.83333333333704
63884,1393.0,1388.7,1388.7,1393.0,2014-06-01T09:40:39,4.2999999999999545,165.25000000000105,60.35779102929935
35216,2120.95,2118.85,2118.85,2120.95,2014-06-01T09:40:39,2.099999999999909,165.95000000000104,121.83098591549441
58900,753.15,752.2,752.35,752.8,2014-06-01T09:40:39,0.9499999999999318,166.26666666666767,150.0
51866,447.1,446.45,446.45,447.1,2014-06-01T09:40:39,0.6500000000000341,166.48333333333437,103.5353535353538
51869,208.55,207.9,207.9,208.55,2014-06-01T09:40:37,0.6500000000000057,166.70000000000104,43.63636363636061
35236,67732.2,67732.2,67732.2,67732.2,2014-06-01T09:40:39,0.0,166.70000000000104,100.0
61367,25400.1,25400.0,25400.0,25400.0,2014-06-01T09:40:31,0.09999999999854481,166.7333333333339,56.17543859649122
55865,367.6,367.3,367.45,367.5,2014-06-01T09:40:39,0.30000000000001137,166.83333333333385,121.42857142856678
35004,22760.0,22749.8,22759.8,22752.7,2014-06-01T09:40:38,10.200000000000728,170.23333333333412,64.04958677686298
52169,164.05,163.8,163.9,164.05,2014-06-01T09:40:37,0.44999999999998863,,
35020,49300.0,49270.6,49288.6,49273.5,2014-06-01T09:40:39,29.400000000001455,180.18333333333462,81.46054345801902
38605,3121.15,3118.15,3119.7,3121.15,2014-06-01T09:40:38,3.0,181.18333333333462,150.0
35152,21885.0,21879.7,21880.2,21879.7,2014-06-01T09:40:38,5.299999999999272,182.95000000000104,122.5146198830402
35025,11425.5,11419.7,11425.5,11423.2,2014-06-01T09:40:38,5.799999999999272,184.88333333333412,112.18905472637266
52177,1023.05,1021.0,1021.0,1023.05,2014-06-01T09:40:39,2.0499999999999545,185.56666666666743,105.63380281690186
40404,315.8,314.95,314.95,315.8,2014-06-01T09:40:39,0.8500000000000227,185.8500000000008,40.82125603864572
47840,1129.9,1128.75,1129.15,1128.9,2014-06-01T09:40:39,1.150000000000091,186.23333333333414,82.0930232558172
52195,154.75,154.65,154.75,154.65,2014-06-01T09:40:20,0.15000000000000568,186.28333333333413,116.66666666666666
52213,3731.35,3725.0,3731.2,3730.1,2014-06-01T09:40:38,6.349999999999909,188.40000000000077,131.34920634920695
63863,7056.75,7052.05,7052.05,7056.75,2014-06-01T09:40:39,4.699999999999818,189.96666666666738,62.978845054315734
58877,503.0,501.2,502.85,502.0,2014-06-01T09:40:38,1.8000000000000114,190.56666666666737,52.53968253968185
42113,2197.65,2193.0,2193.0,2197.65,2014-06-01T09:41:39,4.650000000000091,356.4769444444517,43.81263616558236
63875,1253.15,1252.0,1252.6,1253.15,2014-06-01T09:41:39,1.150000000000091,169.47000000000602,80.66666666665698
42117,819.45,817.25,817.25,819.45,2014-06-01T09:41:39,2.2000000000000455,226.7533333333373,118.18181818181678
63877,2670.0,2666.95,2666.95,2670.0,2014-06-01T09:41:39,3.050000000000182,272.64388888890056,112.62626262626308
41223,5248.0,5247.3,5248.0,5247.3,2014-06-01T09:41:24,0.6999999999998181,147.0449999999911,132.42424242424462
58888,127.1,126.75,126.75,127.05,2014-06-01T09:41:38,0.3499999999999943,128.0097222222228,71.42857142857272
42122,509.6,508.25,509.1,509.1,2014-06-01T09:41:39,1.5500000000000114,193.8300000000019,122.97297297297288
52236,1187.0,1186.8,1186.8,1187.0,2014-06-01T09:41:39,0.20000000000004547,120.1322222222255,147.22222222222467
63884,1388.75,1383.4,1383.4,1388.7,2014-06-01T09:41:39,5.349999999999909,404.8624999999975,94.94334427618466
35216,2118.85,2116.15,2116.15,2118.85,2014-06-01T09:41:39,2.699999999999818,259.9883333333249,150.0
58900,752.35,752.0,752.0,752.35,2014-06-01T09:41:39,0.35000000000002274,130.24222222222429,150.0
51866,446.55,446.45,446.45,446.45,2014-06-01T09:41:35,0.10000000000002274,116.53833333333533,150.0
51869,207.95,207.4,207.5,207.95,2014-06-01T09:41:39,0.549999999999983,141.69499999999994,68.3333333333299
35236,67732.2,67732.2,67732.2,67732.2,2014-06-01T09:41:39,0.0,111.13333333333402,150.0
61367,25407.8,25400.0,25400.0,25400.0,2014-06-01T09:41:25,7.799999999999272,544.6622222221836,118.0
55865,368.0,367.25,367.25,367.45,2014-06-01T09:41:39,0.75,152.93055555555603,150.0
35004,22759.8,22742.0,22744.7,22756.9,2014-06-01T09:41:39,17.799999999999272,1123.5399999999638,13.147242368008179
52169,163.9,163.7,163.7,163.9,2014-06-01T09:41:35,0.20000000000001705,207.05000000000027,102.17391304347879
35020,49289.5,49220.0,49248.1,49288.6,2014-06-01T09:41:39,69.5,4294.3694444444745,33.358602633070554
38605,3121.7,3119.7,3121.7,3119.7,2014-06-01T09:41:39,2.0,241.5777777777795,103.19148936171447
35152,21885.6,21857.0,21858.0,21880.2,2014-06-01T09:41:39,28.599999999998545,1866.089999999922,100.83056478404706
35025,11425.5,11408.2,11408.2,11425.5,2014-06-01T09:41:39,17.299999999999272,1189.4161111110714,150.0
52177,1023.9,1020.75,1021.4,1021.0,2014-06-01T09:41:39,3.1499999999999773,318.556111111111,114.94845360824665
40404,315.2,314.9,314.95,314.95,2014-06-01T09:41:39,0.30000000000001137,142.4850000000013,106.52173913043607
47840,1129.4,1126.85,1127.8,1129.2,2014-06-01T09:41:39,2.550000000000182,282.4538888889014,68.1893687707645
52195,154.75,154.7,154.7,154.75,2014-06-01T09:41:25,0.05000000000001137,127.29361111111236,150.0
52213,3731.5,3726.75,3728.45,3731.5,2014-06-01T09:41:39,4.75,423.90000000000174,150.0
63863,7062.8,7052.05,7059.25,7052.05,2014-06-01T09:41:39,10.75,807.3583333333363,49.77694895421614
58877,503.3,501.0,501.0,503.25,2014-06-01T09:41:39,2.3000000000000114,273.1455555555573,33.66366366366182
42113,2194.65,2193.0,2194.65,2193.0,2014-06-01T09:42:39,1.650000000000091,433.71361574076036,43.81263616558237
63875,1254.05,1252.6,1254.05,1252.6,2014-06-01T09:42:39,1.4500000000000455,194.8905000000095,80.66666666665697
42117,818.6,817.0,818.4,817.3,2014-06-01T09:42:39,1.6000000000000227,272.10400000000647,118.18181818181677
63877,2666.95,2663.3,2663.3,2666.95,2014-06-01T09:42:39,3.649999999999636,513.479324074063,112.62626262626308
41223,5248.0,5243.25,5243.25,5248.0,2014-06-01T09:42:38,4.75,330.85124999998,132.42424242424462
58888,126.9,126.65,126.7,126.9,2014-06-01T09:42:31,0.25,96.00729166666709,71.42857142857274
42122,509.1,507.75,508.1,509.1,2014-06-01T09:42:39,1.3500000000000227,216.44350000000358,122.97297297297288
52236,1186.8,1185.0,1185.0,1186.8,2014-06-01T09:42:39,1.7999999999999545,152.1674814814838,147.22222222222467
63884,1384.45,1380.0,1380.0,1383.4,2014-06-01T09:42:39,4.4500000000000455,870.4543750000007,94.94334427618467
35216,2116.15,2109.75,2109.75,2116.15,2014-06-01T09:42:39,6.400000000000091,727.9673333333176,150.0
58900,752.0,750.4,750.4,752.0,2014-06-01T09:42:37,1.6000000000000227,156.29066666667012,150.0
51866,446.45,445.5,445.85,446.45,2014-06-01T09:42:39,0.9499999999999886,114.5960277777793,150.0
51869,207.5,206.95,207.1,207.5,2014-06-01T09:42:39,0.5500000000000114,120.44075000000049,68.3333333333299
35236,67745.6,67702.7,67702.7,67732.2,2014-06-01T09:42:39,42.90000000000873,1663.2955555558892,150.0
61367,25408.8,25375.1,25375.1,25400.0,2014-06-01T09:42:39,33.70000000000073,6481.480444444117,118.0
55865,367.5,366.35,366.6,367.25,2014-06-01T09:42:39,1.1499999999999773,160.57708333333267,150.0
35004,22752.6,22735.9,22745.8,22748.1,2014-06-01T09:42:39,16.69999999999709,7003.399333332018,13.147242368008179
52169,163.85,163.65,163.75,163.7,2014-06-01T09:42:38,0.19999999999998863,151.83666666666608,150.0
35020,49257.9,49207.0,49228.9,49239.6,2014-06-01T09:42:39,50.900000000001455,75724.04787037299,33.35860263307055
38605,3121.7,3115.15,3116.25,3121.7,2014-06-01T09:42:39,6.549999999999727,688.4966666666496,103.19148936171447
35152,21865.7,21858.0,21865.7,21858.0,2014-06-01T09:42:39,7.700000000000728,6033.6910000002,100.83056478404706
35025,11408.8,11400.0,11400.0,11408.2,2014-06-01T09:42:39,8.799999999999272,4281.897999999568,150.0
52177,1021.5,1018.6,1018.9,1021.4,2014-06-01T09:42:39,2.8999999999999773,520.3083148148122,114.94845360824665
40404,314.95,312.95,312.95,314.95,2014-06-01T09:42:39,2.0,189.98000000000172,106.52173913043607
47840,1128.35,1126.8,1127.55,1127.8,2014-06-01T09:42:39,1.5499999999999545,334.2371018518624,68.18936877076449
52195,154.8,154.5,154.5,154.5,2014-06-01T09:42:34,0.30000000000001137,97.59176851851994,150.0
52213,3729.85,3722.75,3725.7,3728.45,2014-06-01T09:42:39,7.099999999999909,1285.8299999999924,150.0
63863,7059.25,7050.65,7052.6,7059.25,2014-06-01T09:42:39,8.600000000000364,2852.6661111112194,49.77694895421614
58877,501.65,498.25,498.25,501.3,2014-06-01T09:42:39,3.3999999999999773,491.662000000001,33.66366366366182
42113,2197.75,2194.65,2196.0,2194.65,2014-06-01T09:43:39,3.099999999999909,737.3131467592794,43.812636165582376
63875,1254.35,1252.5,1254.35,1254.05,2014-06-01T09:43:39,1.849999999999909,250.10947500000626,80.66666666665697
42117,820.0,818.05,820.0,818.4,2014-06-01T09:43:39,1.9500000000000455,358.27026666667933,118.18181818181677
63877,2666.0,2662.3,2666.0,2663.3,2014-06-01T09:43:39,3.699999999999818,975.6107157406886,112.62626262626308
41223,5243.25,5243.25,5243.25,5243.25,2014-06-01T09:43:23,0.0,220.56749999998667,132.42424242424462
58888,126.85,126.55,126.8,126.65,2014-06-01T09:43:32,0.29999999999999716,73.605590277778,71.42857142857272
42122,508.15,507.4,507.85,508.1,2014-06-01T09:43:39,0.75,198.40654166666994,122.9729729729729
52236,1185.5,1184.05,1185.45,1185.0,2014-06-01T09:43:39,1.4500000000000455,174.99260370370868,147.22222222222467
63884,1383.5,1379.65,1383.5,1380.0,2014-06-01T09:43:38,3.849999999999909,1697.3860312499748,94.94334427618466
35216,2109.75,2108.85,2108.85,2109.75,2014-06-01T09:43:39,0.900000000000091,703.7017555555625,150.0
58900,751.2,750.5,750.5,751.15,2014-06-01T09:43:39,0.8000000000000682,145.87128888889566,150.0
51866,446.0,445.4,446.0,445.85,2014-06-01T09:43:39,0.6000000000000227,99.3165574074096,150.0
51869,207.5,207.1,207.3,207.1,2014-06-01T09:43:38,0.4000000000000057,96.35260000000062,68.33333333332992
