,AccountID,TradingSymbol,ExchangeSegment,ExchangeInstrumentId,ProductType,Marketlot,Multiplier,BuyAveragePrice,SellAveragePrice,OpenBuyQuantity,OpenSellQuantity,Quantity,BuyAmount,SellAmount,NetAmount,UnrealizedMTM,RealizedMTM,MTM,BEP,SumOfTradedQuantityAndPriceBuy,SumOfTradedQuantityAndPriceSell,StatisticsLevel,IsInterOpPosition,childPositions,MessageCode,MessageVersion,TokenID,ApplicationType,SequenceNumber
1,97316238,MANAPPURAM,NSECM,19061,CNC,1,1,183.62,182.495,2,4,-2,367.24,729.98,362.74,0.00,0.00,0.00,0.00,367.24,729.98,ParentLevel,False,{},9002,1,0,0,0
2,97316238,YESBANK,NSECM,11915,CNC,1,1,19.86,19.799999999999997,4,8,-4,79.44,158.39999999999998,78.95999999999998,0.00,0.00,0.00,0.00,79.44,158.39999999999998,ParentLevel,False,{},9002,1,0,0,0
