start_time,end_time,short_ma,long_ma,timeframe,stop_loss,moving_average,total_trades,winning_trades,losing_trades,net_profit,winning_strike,avg_profit,avg_loss,total_brokerage,max_dd_percentage,max_winning_streak,max_losing_streak,days_in_dd,max_drawdown,cagr,exposure,fund_required,tradebook_name
11:25,14:45,11,26,7,20,ema,136,50,86,121325.0,0.58,5697.79,-4805.7,6214.59,6.188,6,6,70,154700.0,4.6044164,72.92456682807304,857050.0,./strategy/moving_average/moving_average_NIFTY_1125_1445_11_26_7_20_ematradebook.csv
11:40,15:00,9,18,26,20,sma,92,42,50,97850.0,0.84,6961.68,-5898.1,6742.09,4.185,5,5,52,104625.0,3.644316400000003,79.92966189753017,781937.5,./strategy/moving_average/moving_average_NIFTY_1140_1500_9_18_26_20_smatradebook.csv
09:55,15:00,27,42,19,20,ema,120,46,74,72550.0,0.62,6027.08,-5422.5,6819.87,5.537,8,5,48,138425.0,2.6292052000000066,75.0626773355752,832637.5,./strategy/moving_average/moving_average_NIFTY_0955_1500_27_42_19_20_ematradebook.csv
11:40,15:00,29,46,17,20,sma,102,43,59,127250.0,0.73,6097.3,-4849.75,6569.3,3.422,4,4,50,85550.0,4.827228000000017,82.9655195300833,753325.0,./strategy/moving_average/moving_average_NIFTY_1140_1500_29_46_17_20_smatradebook.csv
11:45,14:30,27,34,16,20,ema,93,44,49,46700.0,0.9,5512.9,-5010.75,6689.11,3.766,11,3,47,94150.0,1.6004356000000053,81.56872981173937,766225.0,./strategy/moving_average/moving_average_NIFTY_1145_1430_27_34_16_20_ematradebook.csv
11:30,14:30,23,28,11,20,sma,121,48,73,153525.0,0.66,5700.83,-4432.02,6715.71,4.947,5,4,60,123675.0,5.872371600000004,77.11170401443532,810512.5,./strategy/moving_average/moving_average_NIFTY_1130_1430_23_28_11_20_smatradebook.csv
10:00,15:00,21,28,20,20,sma,130,59,71,258925.0,0.83,6979.62,-4987.88,6780.23,3.116,6,4,56,77900.0,10.085790800000003,84.24883736604436,741850.0,./strategy/moving_average/moving_average_NIFTY_1000_1500_21_28_20_20_smatradebook.csv
11:25,14:45,7,14,21,20,ema,89,40,49,116325.0,0.82,6804.21,-5497.19,6685.83,4.414,10,3,55,110350.0,4.385566799999996,79.06138325796148,790525.0,./strategy/moving_average/moving_average_NIFTY_1125_1445_7_14_21_20_ematradebook.csv
10:40,14:45,5,18,26,20,ema,97,40,57,83800.0,0.7,6868.3,-6004.38,6809.13,5.106,4,4,58,127650.0,3.0796347999999973,76.54857772742582,816475.0,./strategy/moving_average/moving_average_NIFTY_1040_1445_5_18_26_20_ematradebook.csv
11:05,14:30,13,18,3,20,ema,199,58,141,120525.0,0.41,3970.1,-3364.45,6692.28,3.774,5,10,83,94350.0,4.5533088,81.53680571409934,766525.0,./strategy/moving_average/moving_average_NIFTY_1105_1430_13_18_3_20_ematradebook.csv
09:55,15:00,9,16,27,20,sma,120,47,73,60625.0,0.64,6693.33,-6188.12,6618.7,7.011,5,6,60,175275.0,2.1602519999999847,70.38981881660636,887912.5,./strategy/moving_average/moving_average_NIFTY_0955_1500_9_16_27_20_smatradebook.csv
09:40,15:00,17,32,7,20,sma,217,83,134,73600.0,0.62,4988.82,-4649.65,6630.39,6.577,4,9,78,164425.0,2.6787844000000005,71.70412011874203,871637.5,./strategy/moving_average/moving_average_NIFTY_0940_1500_17_32_7_20_smatradebook.csv
