timestamp,symbol,close,atm,ce_close_weekly,ce_symbol_weekly,pe_symbol_weekly,pe_close_weekly,implied_futures_weekly,implied_futures_monthly,ce_close_monthly,ce_symbol_monthly,pe_symbol_monthly,pe_close_monthly
2021-03-01 09:15:00,NIFTY-I.NFO,14678.0,14700,162.85,NIFTY04MAR2114700CE.NFO,NIFTY04MAR2114700PE.NFO,211.5,14651.35,14678.7,390.25,NIFTY25MAR2114700CE.NFO,NIFTY25MAR2114700PE.NFO,411.55
2021-03-01 09:16:00,NIFTY-I.NFO,14702.5,14700,168.9,NIFTY04MAR2114700CE.NFO,NIFTY04MAR2114700PE.NFO,188.95,14679.95,14702.15,401.2,NIFTY25MAR2114700CE.NFO,NIFTY25MAR2114700PE.NFO,399.05
2021-03-01 09:17:00,NIFTY-I.NFO,14698.0,14700,170.65,NIFTY04MAR2114700CE.NFO,NIFTY04MAR2114700PE.NFO,194.05,14676.6,14697.65,401.0,NIFTY25MAR2114700CE.NFO,NIFTY25MAR2114700PE.NFO,403.35
2021-03-01 09:18:00,NIFTY-I.NFO,14700.5,14700,169.9,NIFTY04MAR2114700CE.NFO,NIFTY04MAR2114700PE.NFO,188.65,14681.25,14699.15,400.6,NIFTY25MAR2114700CE.NFO,NIFTY25MAR2114700PE.NFO,401.45
2021-03-01 09:19:00,NIFTY-I.NFO,14723.0,14700,173.4,NIFTY04MAR2114700CE.NFO,NIFTY04MAR2114700PE.NFO,173.9,14699.5,14718.7,408.2,NIFTY25MAR2114700CE.NFO,NIFTY25MAR2114700PE.NFO,389.5
2021-03-01 09:20:00,NIFTY-I.NFO,14739.8,14750,162.95,NIFTY04MAR2114750CE.NFO,NIFTY04MAR2114750PE.NFO,190.8,14722.15,14739.8,389.0,NIFTY25MAR2114750CE.NFO,NIFTY25MAR2114750PE.NFO,399.2
2021-03-01 09:21:00,NIFTY-I.NFO,14743.0,14750,163.5,NIFTY04MAR2114750CE.NFO,NIFTY04MAR2114750PE.NFO,188.5,14725.0,14744.75,392.95,NIFTY25MAR2114750CE.NFO,NIFTY25MAR2114750PE.NFO,398.2
2021-03-01 09:22:00,NIFTY-I.NFO,14716.3,14700,176.0,NIFTY04MAR2114700CE.NFO,NIFTY04MAR2114700PE.NFO,177.0,14699.0,14719.0,408.6,NIFTY25MAR2114700CE.NFO,NIFTY25MAR2114700PE.NFO,389.6
2021-03-01 09:23:00,NIFTY-I.NFO,14727.8,14750,156.95,NIFTY04MAR2114750CE.NFO,NIFTY04MAR2114750PE.NFO,198.55,14708.4,14719.65,385.95,NIFTY25MAR2114750CE.NFO,NIFTY25MAR2114750PE.NFO,416.3
2021-03-01 09:24:00,NIFTY-I.NFO,14727.1,14750,157.75,NIFTY04MAR2114750CE.NFO,NIFTY04MAR2114750PE.NFO,201.55,14706.2,14725.3,387.4,NIFTY25MAR2114750CE.NFO,NIFTY25MAR2114750PE.NFO,412.1
