Ticker,Date,Time,open,high,low,close,Volume
BANKNIFTY24JULFUT,2024-06-28,09:15:00,52905.1,52996.6,52885.9,52990.0,4605
BANKNIFTY24JULFUT,2024-06-28,09:16:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:17:00,52975.2,52975.2,52938.4,52951.1,2520
BANKNIFTY24JULFUT,2024-06-28,09:18:00,52970.9,52979.3,52964.2,52975.0,780
BANKNIFTY24JULFUT,2024-06-28,09:19:00,52979.2,52979.2,52965.0,52979.0,1260
BANKNIFTY24JULFUT,2024-06-28,09:20:00,52952.4,52952.4,52952.4,52952.4,375
BANKNIFTY24JULFUT,2024-06-28,09:21:00,52954.4,52954.4,52925.0,52934.9,2070
BANKNIFTY24JULFUT,2024-06-28,09:22:00,52963.4,52971.6,52960.1,52971.6,900
BANKNIFTY24JULFUT,2024-06-28,09:23:00,52973.6,52987.3,52968.0,52982.6,2100
BANKNIFTY24JULFUT,2024-06-28,09:24:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:25:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:26:00,52955.4,52963.0,52950.0,52950.3,2790
BANKNIFTY24JULFUT,2024-06-28,09:27:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:28:00,52939.7,52951.9,52929.1,52936.0,2310
BANKNIFTY24JULFUT,2024-06-28,09:29:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:30:00,52922.5,52922.5,52880.4,52889.6,2415
BANKNIFTY24JULFUT,2024-06-28,09:31:00,52890.9,52898.8,52885.5,52893.4,315
BANKNIFTY24JULFUT,2024-06-28,09:32:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:33:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:34:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:35:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:36:00,52910.0,52929.7,52902.5,52921.7,2265
BANKNIFTY24JULFUT,2024-06-28,09:37:00,52925.0,52972.0,52915.0,52970.0,4500
BANKNIFTY24JULFUT,2024-06-28,09:38:00,52972.0,52972.0,52942.2,52954.5,1530
BANKNIFTY24JULFUT,2024-06-28,09:39:00,52969.9,52972.0,52964.1,52969.0,300
BANKNIFTY24JULFUT,2024-06-28,09:40:00,53011.1,53011.1,53011.1,53011.1,30
BANKNIFTY24JULFUT,2024-06-28,09:41:00,53044.9,53044.9,53029.3,53039.6,1125
BANKNIFTY24JULFUT,2024-06-28,09:42:00,53030.0,53048.9,53025.4,53047.0,840
BANKNIFTY24JULFUT,2024-06-28,09:43:00,53004.1,53006.4,52970.9,52983.5,2205
BANKNIFTY24JULFUT,2024-06-28,09:44:00,52987.1,52989.9,52980.2,52980.2,270
BANKNIFTY24JULFUT,2024-06-28,09:45:00,52994.6,53012.6,52973.6,53006.4,3900
BANKNIFTY24JULFUT,2024-06-28,09:46:00,52980.6,53013.0,52979.4,53009.9,1905
BANKNIFTY24JULFUT,2024-06-28,09:47:00,53013.0,53022.0,53013.0,53022.0,990
BANKNIFTY24JULFUT,2024-06-28,09:48:00,53025.0,53036.2,53012.9,53024.6,1065
BANKNIFTY24JULFUT,2024-06-28,09:49:00,53025.0,53025.0,53000.1,53001.4,1950
BANKNIFTY24JULFUT,2024-06-28,09:50:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:51:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:52:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:53:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:54:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:55:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:56:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:57:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:58:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,09:59:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:00:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:01:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:02:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:03:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:04:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:05:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:06:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:07:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:08:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:09:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:10:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:11:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:12:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:13:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:14:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:15:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:16:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:17:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:18:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:19:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:20:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:21:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:22:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:23:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:24:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:25:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:26:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:27:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:28:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:29:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:30:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:31:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:32:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:33:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:34:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:35:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:36:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:37:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:38:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:39:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:40:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:41:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:42:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:43:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:44:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:45:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:46:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:47:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:48:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:49:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:50:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:51:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:52:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:53:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:54:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:55:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:56:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:57:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:58:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,10:59:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:00:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:01:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:02:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:03:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:04:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:05:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:06:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:07:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:08:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:09:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:10:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:11:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:12:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:13:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:14:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:15:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:16:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:17:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:18:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:19:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:20:00,,,,,0
BANKNIFTY24JULFUT,2024-06-28,11:21:00,,,,,0
