,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,StrikePrice,OptionType,DisplayName,PriceNumerator
2079,BSEFO,839659,2,SENSEX,SENSEX2520780400PE,IO,SENSEX-IO,12503800839659,4215.4,1159.8,1000,0.05,20,1,-1,SENSEX,2025-02-07T00:00:00,80400,4,SENSEX 07FEB2025 PE 80400,1
2080,BSEFO,862547,2,SENSEX,SENSEX27JUN74000PE,IO,SENSEX-IO,12717600862547,2631.3,2139.7,1000,0.05,10,1,-1,SENSEX,2027-06-25T00:00:00,74000,4,SENSEX 25JUN2027 PE 74000,1
2081,BSEFO,1164731,2,SENSEX,SENSEX25JAN76100CE,IO,SENSEX-IO,12503101164731,5714.95,1486.75,1000,0.05,10,1,-1,SENSEX,2025-01-31T00:00:00,76100,3,SENSEX 31JAN2025 CE 76100,1
2082,BSEFO,825443,2,SENSEX50,SENSEX5025JAN26900CE,IO,SENSEX50-IO,12503000825443,119.85,0.05,1800,0.05,25,1,-1,SNSX50,2025-01-30T00:00:00,26900,3,SENSEX50 30JAN2025 CE 26900,1
2083,BSEFO,823124,2,BANKEX,BANKEX25FEB62300CE,IO,BANKEX-IO,12505500823124,1030.9,106.85,900,0.05,30,1,-1,BANKEX,2025-02-24T00:00:00,62300,3,BANKEX 24FEB2025 CE 62300,1
2084,BSEFO,842952,2,SENSEX,SENSEX26DEC81000CE,IO,SENSEX-IO,12635900842952,14174,9888.6,1000,0.05,10,1,-1,SENSEX,2026-12-25T00:00:00,81000,3,SENSEX 25DEC2026 CE 81000,1
2085,BSEFO,821012,2,SENSEX,SENSEX25MAR72000CE,IO,SENSEX-IO,12508700821012,10606.5,5695.4,1000,0.05,10,1,-1,SENSEX,2025-03-28T00:00:00,72000,3,SENSEX 28MAR2025 CE 72000,1
2086,BSEFO,1165649,2,BANKEX,BANKEX25JAN62600PE,IO,BANKEX-IO,12502701165649,5964.95,2414.75,900,0.05,15,1,-1,BANKEX,2025-01-27T00:00:00,62600,4,BANKEX 27JAN2025 PE 62600,1
2087,BSEFO,824023,2,SENSEX,SENSEX2511783600CE,IO,SENSEX-IO,12501700824023,420.45,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-17T00:00:00,83600,3,SENSEX 17JAN2025 CE 83600,1
2088,BSEFO,822129,2,SENSEX,SENSEX2511078100CE,IO,SENSEX-IO,12501000822129,3182.55,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-10T00:00:00,78100,3,SENSEX 10JAN2025 CE 78100,1
2089,BSEFO,1165292,2,BANKEX,BANKEX25JAN55000PE,IO,BANKEX-IO,12502701165292,370.1,19.7,900,0.05,15,1,-1,BANKEX,2025-01-27T00:00:00,55000,4,BANKEX 27JAN2025 PE 55000,1
2090,BSEFO,824881,2,SENSEX,SENSEX2511084400CE,IO,SENSEX-IO,12501000824881,118.45,0.05,1000,0.05,20,1,-1,SENSEX,2025-01-10T00:00:00,84400,3,SENSEX 10JAN2025 CE 84400,1
2091,BSEFO,1165997,2,SENSEX50,SENSEX5025JAN24500CE,IO,SENSEX50-IO,12503001165997,1412.7,194,1800,0.05,25,1,-1,SNSX50,2025-01-30T00:00:00,24500,3,SENSEX50 30JAN2025 CE 24500,1
2092,BSEFO,1163993,2,SENSEX,SENSEX25JAN82800CE,IO,SENSEX-IO,12503101163993,1125.4,0.05,1000,0.05,10,1,-1,SENSEX,2025-01-31T00:00:00,82800,3,SENSEX 31JAN2025 CE 82800,1
