CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKTATAPOWER28-NOV-2024,408.3500000,414.3500000,416.6500000,408.7000000,413.6500000,413.6500000,1.2900000,46407.0000000,21685050.0000000,16063.0000000,8955233842.5000000
FUTSTKDEEPAKNTR28-NOV-2024,2616.2500000,2625.0000000,2689.0000000,2584.0000000,2673.6500000,2673.6500000,2.1900000,7007.0000000,1326600.0000000,4422.0000000,3533651955.0000000
FUTSTKNMDC28-NOV-2024,217.9100000,218.7000000,222.4500000,218.4000000,220.8100000,220.8100000,1.3300000,14369.0000000,18769500.0000000,4171.0000000,4134104100.0000000
FUTSTKSUNTV26-DEC-2024,707.4500000,710.3000000,729.1000000,707.9000000,723.8000000,723.8000000,2.3100000,1521.0000000,417000.0000000,556.0000000,300635325.0000000
FUTIDXBANKNIFTY24-DEC-2024,50727.3000000,50825.0000000,51590.0000000,50825.0000000,51401.1000000,51401.1000000,1.3200000,53750.0000000,697455.0000000,46497.0000000,35763342823.5000000
FUTSTKIDEA28-NOV-2024,6.9100000,6.8600000,6.9200000,6.6000000,6.6800000,6.6800000,-3.3200000,65780.0000000,610520000.0000000,15263.0000000,4112724800.0000000
FUTSTKIOC26-DEC-2024,131.6500000,132.5900000,133.9900000,131.5700000,133.4600000,133.4600000,1.3700000,4516.0000000,12104625.0000000,2483.0000000,1607205892.5000000
FUTSTKDIVISLAB26-DEC-2024,5997.3000000,6004.0000000,6072.0000000,6004.0000000,6038.2500000,6038.2500000,0.6800000,4322.0000000,302400.0000000,3024.0000000,1827298635.0000000
FUTSTKBAJAJ-AUTO28-NOV-2024,9493.1000000,9569.5000000,9614.1500000,9459.1000000,9495.7500000,9495.7500000,0.0200000,31784.0000000,681525.0000000,9087.0000000,6498221141.2500000
FUTSTKDEEPAKNTR26-DEC-2024,2608.9500000,2592.3000000,2679.0000000,2591.9000000,2668.3500000,2668.3500000,2.2700000,2926.0000000,390300.0000000,1301.0000000,1036056825.0000000
FUTSTKUNITDSPR28-NOV-2024,1490.6000000,1483.6000000,1504.0000000,1483.6000000,1496.9500000,1496.9500000,0.4200000,23172.0000000,2655450.0000000,7587.0000000,3974754980.0000000
FUTSTKRELIANCE28-NOV-2024,1224.4500000,1227.5000000,1270.2500000,1219.0000000,1266.9000000,1266.9000000,3.4600000,277749.0000000,39011000.0000000,78022.0000000,48762592125.0000000
FUTSTKSRF28-NOV-2024,2143.6500000,2126.7000000,2187.2000000,2126.7000000,2168.1000000,2168.1000000,1.1400000,13888.0000000,1980375.0000000,5281.0000000,4278010500.0000000
FUTSTKWIPRO28-NOV-2024,558.1000000,559.3000000,574.6000000,558.4000000,572.0000000,572.0000000,2.4900000,25023.0000000,14376000.0000000,9584.0000000,8192889300.0000000
FUTSTKHINDCOPPER26-DEC-2024,264.2500000,266.7000000,266.8500000,266.7000000,266.8500000,266.8500000,0.9800000,897.0000000,5300.0000000,2.0000000,1413907.5000000
FUTSTKCANFINHOME26-DEC-2024,818.7000000,823.0000000,840.6000000,820.9500000,836.7500000,836.7500000,2.2000000,427.0000000,436800.0000000,448.0000000,364098296.2500000
FUTSTKCOALINDIA28-NOV-2024,406.7000000,408.7000000,416.1500000,407.1500000,414.3000000,414.3000000,1.8600000,48850.0000000,9836400.0000000,9368.0000000,4058748592.5000000
FUTSTKCIPLA28-NOV-2024,1463.6500000,1462.9000000,1494.7000000,1460.8500000,1485.1000000,1485.1000000,1.4600000,40089.0000000,1606150.0000000,4942.0000000,2386169028.7500000
FUTSTKSBICARD28-NOV-2024,669.1000000,672.1000000,680.8000000,669.8500000,679.3500000,679.3500000,1.5300000,24825.0000000,2592800.0000000,3241.0000000,1754023040.0000000
